GlycanType,Count,Cancer_Mean,Normal_Mean,Cancer_Total,Normal_Total,Fold_Change,Log2_Fold_Change
Sialylated,1744,1231995230399.5916,1419509316082.9783,29567885529590.2,32648714269908.5,0.8679021803105761,-0.20439564661098225
Non,1007,172905167029.8375,164240555073.30435,4149724008716.1,3777532766686.0,1.0527556178354727,0.07417057420256808
Fucosylated,1618,243165519048.70004,280070237624.36084,5835972457168.801,6441615465360.3,0.8682304878636958,-0.20385001125361502
Both,2065,485062235779.8208,618895077482.1218,11641493658715.7,14234586782088.8,0.7837552008867495,-0.3515249834241992
